,2020,2015-2019,change,smoothed change
2020-09-13,11.061280884676146,11.443657661927329,0.03341386019640713,0.02716130254977277
2020-09-14,11.10650205371248,11.433073143759874,0.028563719127926213,0.025461262755573616
2020-09-15,11.151723222748814,11.422488625592417,0.02370458940418163,0.023722116114012964
2020-09-16,11.189484962406015,11.411887218045113,0.01948864823054186,0.021955418724029955
2020-09-17,11.21854618689581,11.40853619763695,0.01665332058818314,0.020172736111823762
2020-09-18,11.247090762620838,11.41573276047261,0.01477277029782098,0.018385410380847875
2020-09-19,11.275635338345865,11.42292932330827,0.012894589539467427,0.016604447649746185
2020-09-20,11.304179914070893,11.43012588614393,0.011018773837452978,0.014840492670459829
2020-09-21,11.341038321678322,11.440659020979021,0.008707601469287951,0.01310381892794701
2020-09-22,11.38173762237762,11.452733613053612,0.006199043221879474,0.011404309985659035
2020-09-23,11.424104441483454,11.46618809682434,0.0036702394017538165,0.00975140583176582
2020-09-24,11.46789746835443,11.480822784810126,0.0011258179572980476,0.008154024761418275
2020-09-25,11.511690495225405,11.495457472795914,-0.0014121249604817088,0.00662047570651041
2020-09-26,11.55548352209638,11.510092160781701,-0.003943614063260048,0.00515836375197954
2020-09-27,11.599089795918367,11.525269387755102,-0.00640509177526849,0.0037744895591992553
2020-09-28,11.637695238095239,11.554974603174603,-0.007158876394060432,0.0024747433636114983
2020-09-29,11.675050420168068,11.5896756302521,-0.007366452059548445,0.0012640244028450133
2020-09-30,11.709059317844785,11.637747800296589,-0.006127604650994378,0.0001462760766624098
2020-10-01,11.743068215521502,11.685819970341077,-0.004898949780650641,-0.0008753987893339076
2020-10-02,11.77707711319822,11.733892140385565,-0.0036803621761634098,-0.001798526591639047
2020-10-03,11.810652836879433,11.773303900709221,-0.0031723411274520164,-0.0026210379325053
2020-10-04,11.856514345718903,11.773862164781907,-0.0070199718478296536,-0.0033410651376339843
2020-10-05,11.909406106623589,11.76972646203554,-0.011867705255393934,-0.003956869978252868
2020-10-06,11.962297867528273,11.765590759289175,-0.016718846699966372,-0.004467100560315284
2020-10-07,12.027050000000001,11.761283050847458,-0.022596764996093865,-0.004871197968968729
2020-10-08,12.100859523809525,11.756843987086361,-0.029260874525598002,-0.005169847470228112
2020-10-09,12.168726992955136,11.756644456803857,-0.035051033282953226,-0.00536552192622269
2020-10-10,12.175771857619578,11.799840600667409,-0.03185901146248593,-0.005463090691840901
2020-10-11,12.182816722284018,11.843036744530961,-0.02869027472282104,-0.005470243887268477
2020-10-12,12.167701689347727,11.890556687001407,-0.02330799218587387,-0.005397313383954109
2020-10-13,12.067983247301738,11.91667118723604,-0.01269751071320746,-0.0052569177273972785
2020-10-14,11.968264805255748,11.942785687470671,-0.002133431717845191,-0.005063380689268296
2020-10-15,11.86854636320976,11.968900187705303,0.008384548531754743,-0.004831771834181051
2020-10-16,11.76882792116377,11.995014687939934,0.0188567311221034,-0.0045768691055324655
2020-10-17,11.66928284734134,12.006357975986278,0.02807471918787674,-0.004312129834147416
2020-10-18,11.610248373101953,12.014851048445408,0.0336752135929147,-0.004048688825759629
